
Each sample represents 0.02 seconds.
Total run time: 1653.81999999879 seconds.

Total seconds: time spent in function and callees.
Self seconds: time spent in function alone.

   %       total       %       self
 total    seconds     self    seconds    name
  0.24      3.94      0.10      1.68     "getStaticInstance"
  0.24      3.90      0.24      3.90     "environmentName"
  0.23      3.88      0.13      2.10     "is.PSRoot.default"
  0.23      3.78      0.23      3.78     "as.integer"
  0.23      3.76      0.06      0.92     "sample"
  0.22      3.72      0.20      3.36     "is.na"
  0.22      3.58      0.22      3.58     "attr<-"
  0.22      3.56      0.02      0.40     ".flagCumulativeRates"
  0.21      3.40      0.01      0.12     "is.GY94.default"
  0.20      3.34      0.17      2.74     "rev.default"
  0.20      3.26      0.11      1.80     "as.character"
  0.17      2.82      0.02      0.26     "is.Sequence.default"
  0.17      2.82      0.17      2.78     "close.connection"
  0.16      2.72      0.16      2.72     ">"
  0.15      2.40      0.03      0.52     "Log"
  0.14      2.34      0.01      0.12     "rm"
  0.13      2.18      0.02      0.34     "is.element"
  0.13      2.16      0.01      0.22     ".flagCumulativeRates.Sequence"
  0.12      2.04      0.01      0.20     "rbind"
  0.11      1.88      0.01      0.22     "Log.PhyloSim"
  0.11      1.88      0.01      0.18     "sapply"
  0.11      1.86      0.11      1.86     "&"
  0.11      1.84      0.11      1.84     "as.environment"
  0.11      1.82      0.11      1.82     "is.character"
  0.11      1.78      0.01      0.18     ".checkWriteProtection.Sequence"
  0.10      1.68      0.02      0.26     "Debug"
  0.10      1.60      0.02      0.28     "getWriteProtected"
  0.09      1.46      0.09      1.46     ">="
  0.09      1.46      0.00      0.02     "as.character.Process"
  0.09      1.46      0.03      0.56     "enableVirtual"
  0.09      1.42      0.05      0.84     "getStaticInstance.Class"
  0.09      1.42      0.01      0.24     "Debug.PhyloSim"
  0.08      1.40      0.08      1.40     ":"
  0.08      1.40      0.04      0.62     "get.seq.pos"
  0.08      1.36      0.00      0.02     "init.aln.mats"
  0.08      1.32      0.00      0.02     "getWriteProtected.Sequence"
  0.08      1.30      0.05      0.76     "colnames<-"
  0.08      1.30      0.01      0.22     "flagTotalRate"
  0.07      1.20      0.01      0.18     "is.Alphabet"
  0.07      1.08      0.01      0.12     "flagTotalRate.Site"
  0.06      1.06      0.06      1.06     "dimnames<-"
  0.06      1.06      0.01      0.10     "getSequence"
  0.06      1.06      0.01      0.10     "getProcess"
  0.06      0.98      0.01      0.12     "get.from.symlen"
  0.06      0.96      0.00      0.04     "getProcess.Event"
  0.06      0.96      0.06      0.92     "match.fun"
  0.06      0.92      0.03      0.52     "stringLength"
  0.05      0.90      0.05      0.78     "enableVirtual.PSRoot"
  0.05      0.86      0.05      0.86     "is.expression"
  0.05      0.84      0.00      0.08     "getSite"
  0.05      0.78      0.05      0.78     "length"
  0.05      0.76      0.00      0.02     "getSite.Event"
  0.04      0.70      0.03      0.52     "new.env"
  0.04      0.68      0.04      0.68     "typeof"
  0.04      0.66      0.04      0.66     "is.call"
  0.04      0.66      0.04      0.66     "seq_len"
  0.04      0.60      0.01      0.10     "is.Alphabet.default"
  0.04      0.60      0.04      0.60     "*"
  0.04      0.58      0.04      0.58     "seq_along"
  0.03      0.56      0.02      0.34     "colnames"
  0.03      0.54      0.03      0.54     "is.name"
  0.03      0.52      0.03      0.52     "cumsum"
  0.03      0.52      0.00      0.00     "getSequence.Site"
  0.03      0.52      0.03      0.52     "class"
  0.03      0.48      0.01      0.18     "is.data.frame"
  0.03      0.42      0.03      0.42     "("
  0.02      0.40      0.01      0.18     "stringLength.default"
  0.02      0.38      0.01      0.18     "as.list"
  0.02      0.38      0.02      0.38     "is.list"
  0.02      0.36      0.02      0.36     "is.na.PSRoot"
  0.02      0.34      0.02      0.34     "is.pairlist"
  0.02      0.30      0.02      0.30     "is.logical"
  0.02      0.28      0.02      0.28     "as.numeric"
  0.02      0.28      0.02      0.28     "is.object"
  0.01      0.20      0.01      0.20     "invisible"
  0.01      0.20      0.01      0.16     "as.list.default"
  0.01      0.20      0.01      0.20     "+"
  0.01      0.20      0.01      0.20     "as.logical"
  0.01      0.18      0.00      0.04     "$.Class"
  0.01      0.18      0.01      0.10     "match.call"
  0.01      0.16      0.01      0.16     "names"
  0.01      0.16      0.01      0.16     "baseenv"
  0.01      0.16      0.00      0.04     "get.to.symlen"
  0.01      0.14      0.01      0.14     "<="
  0.01      0.12      0.01      0.12     "vector"
  0.01      0.12      0.01      0.12     "dim"
  0.01      0.12      0.01      0.12     "attributes"
  0.01      0.12      0.01      0.12     "is.function"
  0.01      0.12      0.01      0.12     "min"
  0.01      0.12      0.01      0.12     "|"
  0.01      0.12      0.00      0.02     "integer"
  0.00      0.08      0.00      0.02     "sys.call"
  0.00      0.06      0.00      0.04     "numeric"
  0.00      0.06      0.00      0.06     "/"
  0.00      0.04      0.00      0.04     "all"
  0.00      0.04      0.00      0.04     ".Primitive"
  0.00      0.04      0.00      0.04     "<"
  0.00      0.04      0.00      0.04     "names<-"
  0.00      0.02      0.00      0.02     "dimnames"
  0.00      0.02      0.00      0.02     "max"
  0.00      0.02      0.00      0.02     "character"

   %       self        %       total
 self     seconds    total    seconds    name
 12.23    202.34     14.91    246.64     "clone.Sequence"
  9.13    151.04     35.12    580.78     "$.Object"
  4.43     73.32     38.28    633.12     "$"
  3.86     63.90      9.74    161.16     "insertSequence.Sequence"
  3.65     60.40      3.71     61.30     "get"
  3.49     57.72      3.60     59.60     "exists"
  3.11     51.42      3.82     63.24     "paste"
  2.73     45.10      3.91     64.62     "deleteSubSequence.Sequence"
  2.71     44.88      2.76     45.68     "gsub"
  2.68     44.30     19.62    324.48     "$<-.Object"
  2.45     40.56      2.64     43.66     "identical"
  2.38     39.28      8.18    135.26     "inherits"
  2.11     34.92     10.02    165.74     "deparse"
