
Each sample represents 0.02 seconds.
Total run time: 143.64 seconds.

Total seconds: time spent in function and callees.
Self seconds: time spent in function alone.

   %       total       %       self
 total    seconds     self    seconds    name
  0.06      0.08      0.06      0.08     "as.character"
  0.06      0.08      0.56      0.80     "is.vector"
  0.06      0.08      0.68      0.98     "getState.Site"
  0.06      0.08      0.06      0.08     "seq_along"
  0.06      0.08      0.06      0.08     "length"
  0.06      0.08      0.49      0.70     "is.element"
  0.06      0.08      0.92      1.32     ".setHandler"
  0.04      0.06      0.04      0.06     "class"
  0.04      0.06      1.16      1.66     "getId.Process"
  0.04      0.06      0.04      0.06     "attributes"
  0.04      0.06      3.49      5.02     "intersect"
  0.04      0.06      0.04      0.06     "&"
  0.04      0.06      0.06      0.08     "match.fun"
  0.04      0.06      6.79      9.76     ".checkWriteProtection.Event"
  0.03      0.04      1.41      2.02     "getProcesses"
  0.03      0.04      0.03      0.04     "invisible"
  0.03      0.04      0.03      0.04     "is.expression"
  0.03      0.04      0.03      0.04     "is.function"
  0.03      0.04      0.03      0.04     "names"
  0.03      0.04      0.03      0.04     "("
  0.03      0.04      2.03      2.92     "evalVis"
  0.03      0.04      0.06      0.08     "new.env"
  0.03      0.04      0.03      0.04     "is.na.PSRoot"
  0.03      0.04      0.03      0.04     "seq_len"
  0.03      0.04      0.03      0.04     "as.logical"
  0.01      0.02      0.01      0.02     "typeof"
  0.01      0.02      0.01      0.02     "*"
  0.01      0.02      0.01      0.02     "dim"
  0.01      0.02      0.01      0.02     "is.pairlist"
  0.01      0.02      0.01      0.02     "is.call"
  0.01      0.02      0.01      0.02     "baseenv"
  0.01      0.02      0.01      0.02     "is.logical"
  0.01      0.02      0.01      0.02     "+"
  0.01      0.02     13.13     18.86     "!=.Alphabet"
  0.01      0.02      0.01      0.02     "is.object"
